target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
29P_22S01,2025-01-26 14:25:40.018,2025-01-27 03:25:40.018000,2025-01-26 14:40:00.018,2025-01-27 03:40:00.018000,14.33333333333323,10h03m18.06s,+9d08m42s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.25}",30,25
TransitionBlock,2025-01-26 14:40:00.018,2025-01-27 03:40:00.018000,2025-01-26 14:42:00.018,2025-01-27 03:42:00.018000,1.999999999999993,,,['filter:r to g'],,
C2024_A1_22S01,2025-01-26 14:42:00.018,2025-01-27 03:42:00.018000,2025-01-26 14:56:20.018,2025-01-27 03:56:20.018000,14.33333333333323,7h04m59.53s,-17d26m57.1s,"{'filter': 'g', 'magnitude': 16, 'rate (""/min)': 0.99}",30,25
TransitionBlock,2025-01-26 14:56:20.018,2025-01-27 03:56:20.018000,2025-01-26 14:59:00.018,2025-01-27 03:59:00.018000,2.6666666666667105,,,['filter:g to i'],,
C2019_L3_22S01,2025-01-26 15:11:40.020,2025-01-27 04:11:40.020000,2025-01-26 15:31:00.020,2025-01-27 04:31:00.020000,19.33333333333337,12h39m11.16s,-58d13m21.6s,"{'filter': 'i', 'magnitude': 18, 'rate (""/min)': 0.19}",60,18
TransitionBlock,2025-01-26 15:31:00.020,2025-01-27 04:31:00.020000,2025-01-26 15:31:20.020,2025-01-27 04:31:20.020000,0.33333333333327886,,,['filter:i to r'],,
C2019_L3_22S01,2025-01-26 15:31:40.021,2025-01-27 04:31:40.021000,2025-01-26 15:51:00.021,2025-01-27 04:51:00.021000,19.33333333333337,12h39m11.16s,-58d13m21.6s,"{'filter': 'r', 'magnitude': 18, 'rate (""/min)': 0.19}",60,18
TransitionBlock,2025-01-26 15:51:00.021,2025-01-27 04:51:00.021000,2025-01-26 15:51:20.021,2025-01-27 04:51:20.021000,0.33333333333327886,,,['filter:r to g'],,
C2019_L3_22S01,2025-01-26 15:51:40.022,2025-01-27 04:51:40.022000,2025-01-26 16:11:00.022,2025-01-27 05:11:00.022000,19.33333333333337,12h39m11.16s,-58d13m21.6s,"{'filter': 'g', 'magnitude': 18, 'rate (""/min)': 0.19}",60,18
TransitionBlock,2025-01-26 16:11:00.022,2025-01-27 05:11:00.022000,2025-01-26 16:12:00.022,2025-01-27 05:12:00.022000,0.9999999999999964,,,['filter:g to i'],,
C2022_S4_22S01,2025-01-26 16:12:20.022,2025-01-27 05:12:20.022000,2025-01-26 16:26:40.022,2025-01-27 05:26:40.022000,14.333333333333389,15h47m58.57s,-57d03m35s,"{'filter': 'i', 'magnitude': 17, 'rate (""/min)': 0.12}",30,25
TransitionBlock,2025-01-26 16:26:40.022,2025-01-27 05:26:40.022000,2025-01-26 16:27:00.022,2025-01-27 05:27:00.022000,0.33333333333327886,,,['filter:i to r'],,
C2022_S4_22S01,2025-01-26 16:27:20.023,2025-01-27 05:27:20.023000,2025-01-26 16:41:40.023,2025-01-27 05:41:40.023000,14.333333333333389,15h47m58.57s,-57d03m35s,"{'filter': 'r', 'magnitude': 17, 'rate (""/min)': 0.12}",30,25
TransitionBlock,2025-01-26 16:41:40.023,2025-01-27 05:41:40.023000,2025-01-26 16:42:00.023,2025-01-27 05:42:00.023000,0.33333333333327886,,,['filter:r to g'],,
C2022_S4_22S01,2025-01-26 16:42:20.024,2025-01-27 05:42:20.024000,2025-01-26 16:56:40.024,2025-01-27 05:56:40.024000,14.333333333333389,15h47m58.57s,-57d03m35s,"{'filter': 'g', 'magnitude': 17, 'rate (""/min)': 0.12}",30,25
