snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2021juw,18.59,0.039,G-Gaia,FINISHED,spec ia,YES,33,296.771708,-20.2032,,,-,99,630,GaiaAlerts,,,,Elliptical,-,2021-04-12 14:58:34,2021-04-17,ePESSTO+,,,,,
2021jvf,18.548,0.0277,,ABANDON,SN Ic,NO,15,310.9930243,-20.67492143,,,-,,627,ATLAS,,,,Spiral,-,2021-04-15 14:28:19,2021-04-17,ePESSTO+,,,,,
2021jva,18.095,,,ABANDON,?,NO,26,317.99525,-21.86744429,,,-,99,627,ATLAS,,,,Elliptical,-,2021-04-15 14:31:12,2021-04-17,?,,,,,
2021jvs,18.9906,0.021,g-ZTF,FINISHED,spec ia,NO,37,224.4366965,6.6243519,,,0.026892,99,627,ZTF,,531.2021jvs.a,,Spiral,UGC 09625,2021-04-16 8:43:58,2021-04-17,ePESSTO+,,,,,
2021jkd,20.2267,0.077,g-ZTF,FINISHED,spec ia,NO,16,232.5318687,-0.565278137,,,0.077222,99,633,ZTF,,428.F.a,,Elliptical,WISEA J153007.52-003359.4,2021-04-10 9:33:39,2021-04-17,YSE,,,,,
2021jtk,20.693,0.054,,ABANDONED,spec ia,NO,53,151.805704,14.773089,,,-,,634,ZTF,,,,?,-,2021-04-09 4:58:34,2021-04-17,ZTF,bad weather missed peak,,,,
2021jys,19.272,0.036,orange-ATLAS,FINISHED,spec ia,NO,23,135.3058235,10.43738805,,,-,99,626,ATLAS,,,,Elliptical,-,2021-04-17 6:37:26,2021-04-20,ZTF,,,,,
2021jze,19.19,0.0471,g-Sloan,FINISHED,spec ia,NO,10,154.972375,-3.7354,,,-,99,627,Pan-STARRS1,,418.A.a,,Elliptical?,-,2021-04-16 6:02:53,2021-04-21,UCSC,,,,,
2021jof,20.2574,0.11,,NON IA YSE,SN Ia-91T-like,NO,33,242.843729,28.87310219,,,0.11066,,630,ZTF,,632.D.a,,Elliptical?,SDSS J161122.81+285219.1,2021-04-13 10:27:03,2021-03-30,YSE,,,,,
2021kmz,17.2,0.019937,,ABANDON,?,NO,57,346.224417,-6.542339,,,-,99,619,GaiaAlerts,,,,Spiral,-,2021-04-24 8:35:31,2021-04-27,?,,,,,
2021dur,20.2794,,,NON IA YSE,?,NO,16,216.0668873,2.867768118,,,-,,679,ZTF,,477.E.a,,Elliptical?,SDSS J142415.90+025202.0,2021-02-23 11:33:44,2021-04-24,?,,,,,
2021jpk,19.2565,0.038,,NON IA YSE,SN Ibn,NO,29,219.7501026,12.66945045,,,0.037978,,630,ZTF,,477.D.a,,Spiral,WISEA J143900.45+124018.5,2021-04-13 6:57:29,2021-04-24,adH0cc,,,,,
2021khn,19.247,0.072,orange-ATLAS,FINISHED,spec ia,NO,5,195.7992455,-6.663225455,,,-,99,624,ATLAS,,,,Elliptical,-,2021-04-19 9:40:19,2021-04-27,TCD,,,,,
